75.7,35.6
42,31
39.1,39.8
77.1,36.1
74.5,39.5
62.2,52
76.4,31.5
54.5,45.2
300.2,61.9
333.8,59.4
335.9,56.6
272.6,69
0,61
240.7,45.1
266.7,58.9
79.1,50.1
93.6,60.9
79.8,45.1
83.6,46.7
294.1,45.3
294.9,35
303.8,36.4
272.3,36.9
55.6,35.8
319.4,49.5
42.7,75.2
305.3,30
85.7,54.9
55,48.4
236.6,27.2
116.4,25.5
145.7,7.5
302.8,44.3
56.6,14.4
46.1,11.2
50,22.7
40.8,19.5
348.8,36.5
236.2,31.7
349.1,62.6
284,85.9
70.5,36.8
51,40.9
319.2,42.1
311.8,28.4
235,38.3
224,19.3
215.5,33.4
49.5,51.9
74.6,51.4
18.9,31.6
30.2,6.1
50.1,14.5
84,0.2
256.1,5.8
127.1,44
130.1,31
129.6,35.3
233,34.7
258.9,65.5
327.5,38.2
272.7,70
336.5,74.8
199.7,68.9
198.4,63.8
202.5,60.1
192.8,71.6
276.7,25.2
274.7,37.8
283.4,52.8
336.1,27.8
272,21.9
53.7,15.4
67.1,37.4
285,17.7
112.6,11.1
102.4,8.5
247.1,46.9
224.3,51.1
209.8,49
189.7,43.6
204.5,70.4
200.6,60.4
205.2,55.4
192.2,60.4
267.8,28.9
264.9,26.6
266.1,25.7
292.7,24.7
