183.4,27.9
159,16.1
78.5,46.7
144.9,27.3
223.7,21
242.9,30.6
255.8,30.5
273.8,7.6
270.6,14
277.1,12.8
285.1,11.7
215,16.3
216.5,17.6
67.9,68.2
311.4,17.7
228.5,40.2
140.5,52.5
226.2,47.5
278.6,39.4
111.6,29.5
250,19.1
99.8,0.6
128.6,26.7
182.8,14.8
218.8,7.5
128.2,12.7
100.6,14
32.8,8.3
163.2,0.8
23.9,4.2
359.5,26
116.2,29.5
256.7,23.2
182.4,10.8
203.6,26.2
85.8,22.4
134.4,39.6
162.1,15.2
197.3,13.8
235.5,26.9
278.6,15.5
182.6,21.9
333.1,64.1
26.7,73.6
38,4.4
142,0.5
239.6,26.5
206.4,16.7
244.8,33.2
70.5,29.5
165.3,1.6
161.5,3.8
350.1,8.9
358.6,14.9
332,16.2
340.8,9.5
217,65.1
182.3,18.9
175.3,26.5
180.1,18.1
181.3,20
207.9,18.2
222.4,20.7
184.9,14.6
204.3,21.1
348.1,21.5
335.6,19
11.8,5.1
8.1,1.8
263.7,44.7
284.2,29.6
196.8,30.8
217.2,44
209,14.2
149.7,15.1
73.5,32.8
70.1,30.6
205.5,7.6
205.7,2.9
206.7,21.4
207.7,17.4
59.8,60.3
238.6,31.4
117.5,24.4
272.8,28
188.1,22.2
174.5,33.4
180.8,25.1
181.5,22
207.4,55.3
145.3,43.4
158.9,20.8
144.6,13.2
343.2,6.9
13.7,6.3
184,23.8
192.9,52
183.2,26.9
81.3,25.2
237.4,27.4
82.6,19
254.8,37.7
254.8,32.3
254.9,29.1
254.6,31.2
