Name,Slice,Inner Major Axis,Inner Minor Axis,Outer Major Axis,Outer Minor Axis,Notes,"Aspect Ratio, Outer",,Standard Deviation (microns) - Outer Major,Standad Deviation (microns) - Inner Major,Moved,Moved To
,2,,,938,846,Effectively filled,0.901918976545842,,,,TRUE,55
,1,,,977,784,Effectively filled,0.802456499488229,,,,TRUE,44
,0,,,874,814,,0.931350114416476,,,,FALSE,
rect_000027,3,238,175,991,741,effectively filled,0.747729566094854,,98.0119040389142,83.0762701778713,FALSE,
,2,,,1049,910,,0.867492850333651,,,,FALSE,
,1,,,985,902,,0.915736040609137,,,,TRUE,30
,0,469,423,821,793,,0.965895249695493,,,,TRUE,3
rect_000028,3,,,1040,971,Filled,0.933653846153846,,68.4032162986507,47.6401441363619,FALSE,
,2,,,1181,887,,0.751058425063506,,,,TRUE,55
,1,,,1175,910,Also filled.,0.774468085106383,,,,TRUE,42
,0,,,1174,859,,0.731686541737649,,,,TRUE,23
rect_000029,3,,,1247,1174,,0.945469125902165,,17.4451521441727,42.6956281914983,TRUE,72
,2,,,1282,1089,,0.849453978159126,,,,TRUE,54
,1,,,1270,1169,,0.920472440944882,,,,TRUE,41
,0,,,1247,1179,,0.945469125902165,,,,FALSE,
rect_000030,3,2471,1813,3406,1979,"Large, broken shell. Outer major axis inferred. ",0.581033470346447,,398.445625734135,108.444686361297,TRUE,81
,2,2298,1666,3861,2136,,0.553224553224553,,,,TRUE,65
,1,2036,1560,3713,2150,,0.579046593051441,,,,FALSE,
,0,1963,1864,2959,2240,,0.7570125042244,,,,TRUE,17
rect_000031,3,1347,1318,2542,2078,Thin top,0.978470675575353,,120.508298469442,326.661394515279,FALSE,
rect_000031,2,1318,1231,2299,1928,,0.933990895295903,,,,TRUE,68
rect_000031,1,1173,704,2302,1588,,0.600170502983802,,,,FALSE,
rect_000031,0,1175,629,2302,1356,,0.53531914893617,,,,TRUE,34
rect_000032,3,,,1380,1261,,,,187.764702043098,38.2742297984775,FALSE,
rect_000032,2,,,1565,1223,,,,,,FALSE,
rect_000032,1,,,1113,1170,,,,,,FALSE,
rect_000032,0,,,1295,1235,,,,,,FALSE,
rect_000034,3,1487,985,2517,2157,,0.856972586412396,,230.459504758067,138.878844081211,TRUE,85
rect_000034,2,1541,848,2348,2292,,0.976149914821124,,,,FALSE,
rect_000034,1,1462,1007,2663,2098,,0.787833270747277,,,,FALSE,
rect_000034,0,1489,1369,2127,1957,,0.920075223319229,,,,TRUE,14
rect_000035,3,,,1098,945,,0.860655737704918,,90.6072108977352,70.5567147761289,TRUE,95
rect_000035,2,,,947,826,,0.872228088701162,,,,TRUE,53
rect_000035,1,,,1029,823,,0.79980563654033,,,,FALSE,
rect_000035,0,,,892,781,,0.875560538116592,,,,TRUE,18
