06CT01.measure
"Image","Volume Fration","Label Volume","Total Volume","Label Voxel Count","Total Voxel Count","Label id"
"06CT01.to-labelfield-8_bits",0.0752718,8.61353e+12,1.14432e+14,9.77294e+08,9.86335e+07,1
"06CT01.to-labelfield-8_bits",0.325962,3.73006e+13,1.14432e+14,-6.28325e+07,9.86335e+07,2
"06CT01.to-labelfield-8_bits",0.274872,3.14542e+13,1.14432e+14,-7.26159e+08,9.86335e+07,3
"06CT01.to-labelfield-8_bits",0.0668658,7.65161e+12,1.14432e+14,8.68154e+08,9.86335e+07,4
